"star_id","const_id"
43,"tukano-005"
114,"navajo-004"
145,"chinese-135"
145,"korean-091"
154,"chinese-135"
154,"korean-091"
194,"chinese-258"
301,"chinese-036"
301,"korean-091"
301,"tukano-003"
355,"chinese-036"
355,"korean-091"
443,"chinese-135"
443,"korean-091"
518,"tukano-005"
664,"korean-091"
667,"indian-N26"
677,"arabic-001"
677,"arabic-035"
677,"arabic_moon_stations-027"
677,"chinese-002"
677,"dakota-005"
677,"egyptian-016"
677,"hawaiian_starlines-LUP"
677,"japanese_moon_stations-14"
677,"korean-095"
677,"navajo-004"
677,"ojibwe-005"
677,"romanian-Jgb"
677,"western-And"
677,"western-Peg"
696,"tukano-003"
746,"arabic-012"
746,"belarusian-020"
746,"chinese-263"
746,"egyptian-004"
746,"hawaiian_starlines-IWA"
746,"hawaiian_starlines-LUP"
746,"inuit-005"
746,"inuit-010"
746,"korean-101"
746,"macedonian-019"
746,"mongolian-002"
746,"navajo-002"
746,"romanian-Tdz"
746,"sami-001"
746,"sardinian-010"
746,"tongan-011"
746,"tukano-005"
746,"tupi-003"
746,"western-Cas"
765,"chinese-103"
765,"western-Phe"
840,"korean-091"
910,"chinese-036"
910,"korean-091"
983,"korean-091"
983,"tukano-003"
1067,"arabic-035"
1067,"arabic_moon_stations-027"
1067,"chinese-002"
1067,"dakota-005"
1067,"egyptian-016"
1067,"hawaiian_starlines-LUP"
1067,"indian-N26"
1067,"japanese_moon_stations-14"
1067,"korean-095"
1067,"ojibwe-005"
1067,"romanian-Jgb"
1067,"western-Peg"
1158,"korean-091"
1170,"chinese-036"
1170,"korean-091"
1170,"tukano-003"
1366,"chinese-233"
1366,"navajo-004"
1402,"tukano-003"
1473,"chinese-233"
1562,"arabic-015"
1562,"chinese-210"
1562,"korean-112"
1562,"romanian-Chi"
1562,"western-Cet"
1599,"chinese-157"
1599,"western-Tuc"
1645,"arabic-037"
1645,"western-Psc"
1686,"chinese-233"
1728,"tukano-003"
1803,"chinese-036"
1960,"tupi-003"
2021,"boorong-Kts"
2021,"chinese-184"
2021,"western-Hyi"
2025,"chinese-258"
2072,"chinese-103"
2072,"western-Phe"
2081,"chinese-103"
