"id_num","id","parentId","text","start_sentence","remainder","index_value","sum_index_value","leaf","animal"
1,"cat","","cat","1,2,3,4,5,6",,,825.044,0,"cat"
2,"cat.'s","cat","'s","1,3,5,6",,,2.692,0,"cat"
3,"cat.'s.back","cat.'s","back","5",,,0.165,0,"cat"
4,"cat.'s.back.stay_bent_in_the_middle","cat.'s.back","stay bent in the middle","5","'s back stay bent in the middle",0,,1,"cat"
5,"cat.'s.back.twitch","cat.'s.back","twitch","5","'s back twitch",0.165,,1,"cat"
6,"cat.'s.belly_sag","cat.'s","belly sag","5","'s belly sag",0.028,,1,"cat"
7,"cat.'s.body","cat.'s","body","5","'s body",0.06,,1,"cat"
8,"cat.'s.breath","cat.'s","breath","5",,,0.628,0,"cat"
9,"cat.'s.breath.smell","cat.'s.breath","smell","5","'s breath smell",0.326,,1,"cat"
10,"cat.'s.breath.stink","cat.'s.breath","stink","5","'s breath stink",0.302,,1,"cat"
11,"cat.'s.butt_stink","cat.'s","butt stink","5","'s butt stink",0.041,,1,"cat"
12,"cat.'s.coat_important","cat.'s","coat important","3","'s coat important",0.009,,1,"cat"
13,"cat.'s.ears_smell","cat.'s","ears smell","5","'s ears smell",0.045,,1,"cat"
14,"cat.'s.eye","cat.'s","eye","1,6",,,0.39,0,"cat"
15,"cat.'s.eye.water","cat.'s.eye","water","1","'s eye water",0.013,,1,"cat"
16,"cat.'s.eye.watering","cat.'s.eye","watering","6","'s eye watering",0.377,,1,"cat"
17,"cat.'s.eyes_have_a_bloody_discharge","cat.'s","eyes have a bloody discharge","5","'s eyes have a bloody discharge",0.004,,1,"cat"
18,"cat.'s.face","cat.'s","face","5",,,0.034,0,"cat"
19,"cat.'s.face.look_swollen","cat.'s.face","look swollen","5","'s face look swollen",0.011,,1,"cat"
20,"cat.'s.face.twitch","cat.'s.face","twitch","5","'s face twitch",0.024,,1,"cat"
21,"cat.'s.fur","cat.'s","fur","5",,,0.077,0,"cat"
22,"cat.'s.fur.keep_matting","cat.'s.fur","keep matting","5","'s fur keep matting",0.017,,1,"cat"
23,"cat.'s.fur.look_greasy","cat.'s.fur","look greasy","5","'s fur look greasy",0.015,,1,"cat"
24,"cat.'s.fur.smell","cat.'s.fur","smell","5","'s fur smell",0.045,,1,"cat"
25,"cat.'s.hair_look_matted_all_the_time","cat.'s","hair look matted all the time","5","'s hair look matted all the time",0.004,,1,"cat"
26,"cat.'s.have_a_big_tail_puff_up","cat.'s","have a big tail puff up","5","'s have a big tail puff up",0,,1,"cat"
27,"cat.'s.head_twitch","cat.'s","head twitch","5","'s head twitch",0.03,,1,"cat"
28,"cat.'s.litter_box_smell_like_bleach","cat.'s","litter box smell like bleach","5","'s litter box smell like bleach",0.004,,1,"cat"
29,"cat.'s.nose","cat.'s","nose","3,5",,,0.169,0,"cat"
30,"cat.'s.nose.drip","cat.'s.nose","drip","5","'s nose drip",0.064,0.069,1,"cat"
31,"cat.'s.nose.drip.when_kneading","cat.'s.nose.drip","when kneading","5","'s nose drip when kneading",0.004,,1,"cat"
32,"cat.'s.nose.wet","cat.'s.nose","wet","3","'s nose wet",0.1,,1,"cat"
33,"cat.'s.pee_smell_like_ammonia","cat.'s","pee smell like ammonia","5","'s pee smell like ammonia",0.049,,1,"cat"
34,"cat.'s.poop_smell_so_bad","cat.'s","poop smell so bad","5","'s poop smell so bad",0.281,,1,"cat"
35,"cat.'s.puke_look_like_poop","cat.'s","puke look like poop","5","'s puke look like poop",0.013,,1,"cat"
36,"cat.'s.stomach","cat.'s","stomach","5",,,0.028,0,"cat"
37,"cat.'s.stomach.make_noises","cat.'s.stomach","make noises","5","'s stomach make noises",0.021,,1,"cat"
38,"cat.'s.stomach.sag","cat.'s.stomach","sag","5","'s stomach sag",0.006,,1,"cat"
39,"cat.'s.tail","cat.'s","tail","1,5,6",,,0.384,0,"cat"
40,"cat.'s.tail.always_up","cat.'s.tail","always up","6","'s tail always up",0.058,,1,"cat"
